text_clean,sentimiento_real,pred_SVM,pred_Gemini
escúchame una duda tonta pero que va a pasar en la gira si entre los fandoms nos tiramos un shade importante por aquí yo capaz soy de arrancarle los pelos a la primera q escuche insultar a k o v cuándo les toque cantar,POSITIVO,NEGATIVO,NEGATIVO
pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados ya mejor le cambio a canciones de celine dion,NEGATIVO,NEGATIVO,NEGATIVO
estaba escuchando el testimonio brutal de un incrédulo que hablaba de alguien capo de un cartel que le hizo mucho daño pero que al tiempo este capo se convirtió a cristo y decía que por eso no habría que creer en los cristianos s,POSITIVO,NEGATIVO,NEGATIVO
dominguez q onda va entrena se caga de risa se lo nota distendido pero no firma flaco no firma cual es la finalidad solo en gimnasia pasa esto gelp,NEUTRO,NEGATIVO,NEGATIVO
el parpadeo es tranquilo un exterior falso que contradice su agitado interior dorados buscan a brenda tan solo para ver su reacción es la única general que conoce por lo que en sus manos queda elegir si es necesario ponerse o no a la defensiva luego buscaría a noelle,NEGATIVO,NEGATIVO,NEUTRO
hemos decidido dormir temprano yo y las voces gn mutis,POSITIVO,POSITIVO,NEUTRO
la neta del planeta es que el gobierno ha abandonado a su pueblo y lo deja sumido en la ignorancia y en una nula capacidad de gestión para salir de su inhumana condición la oposición tiene el imperativo de aplicarse con un discurso reivindicador,NEGATIVO,NEGATIVO,NEGATIVO
al mismo tiempo que me empezabas a tratar indiferente estabas conociéndola a ella,POSITIVO,POSITIVO,NEGATIVO
también tengo qe aceptar q ya no es mi lugar seguro,NEUTRO,POSITIVO,NEGATIVO
se imaginan q si estudio actuación y dsp m convierto en un actor famoso las noticias serían como joven de ciudad de la greda logro sobresalir en las pantallas,POSITIVO,POSITIVO,POSITIVO
baltasar me cago en mi bida edition,POSITIVO,NEGATIVO,NEGATIVO
no se asusten sino me reconocen si mi gesto es diferente o si mi voz varía no estoy poseído ni estoy loco ni oigo voces juzgenme por mi discurso que no desvaria,NEGATIVO,NEGATIVO,NEUTRO
lo único bueno del viernes de mierda este es que se van suarezzuculini y que renovó ruberto,POSITIVO,NEGATIVO,POSITIVO
ah ojalá poder guardar el día de hoy en un lugar de mi cabeza que pueda verlo siempre y volver a sentirme igual de apacible y feliz,NEGATIVO,NEUTRO,POSITIVO
marico que arrechera cuando uno hace el trabajo de uno bien y en el momento que se lo piden pero cuando espero algo de la otra persona no le veo interés ni siento que se mueva para resolver rápido lo que le toca hacer,NEUTRO,NEUTRO,NEGATIVO
alex en mi casa vino mi amigo super agitado y me dijo tu vives con tu abuela y yo le dije no y me dice y quien es la señora que está subiendo las escaleras mira me cago otdirectoe,NEGATIVO,NEGATIVO,NEGATIVO
qué rico es debatir con alguien en especial si es alguien capaz de hacerte cambiar de opinión,POSITIVO,NEUTRO,POSITIVO
que flojera da buscar pareja a esta edad ya todxs tuvieron experiencias horrendas que nos traumaron,NEGATIVO,NEGATIVO,NEGATIVO
pensamiento de izquierda no puede ser que mis malas decisiones mi flojera y mi mediocridad hagan que no tenga plata eso no puede ser yo jamás puedo estar equivocado el mundo es el que está en contra mía es ese capitalismo el que me explota hay que cambiar el mundo yo no,NEGATIVO,NEGATIVO,NEGATIVO
te he extrañado más de lo usual,POSITIVO,POSITIVO,NEGATIVO
bastante osado por mi parte el ir dando carnets de npc por ahí constantemente cuando llevo el mismo outfit todos los días,POSITIVO,POSITIVO,NEUTRO
en la última película de rápido y furioso encontraron las esferas del dragón para revivir a todo el mundo o que verga,NEGATIVO,NEUTRO,NEGATIVO
que molesto tener que andar controlando todo lo que decís porque a la mínima se ofenden,NEGATIVO,NEGATIVO,NEGATIVO
podía llegar a ser tan delicado por qué tomaría entonces el camino completamente distinto y destrozar cualquier suavidad ajá calmado como ahora supongo en su tono reflejaba duda sarcasmo que contrastaba sus palabras con su mensaje qué podría hacer yo en un lugar,NEUTRO,POSITIVO,NEUTRO
cada vez más confiado de que voy a triunfar,POSITIVO,POSITIVO,POSITIVO
será que viajo pa alla quedarme un mes me están convencido de ir necesito pensar en los gastos mi estadia y donde quedarme,POSITIVO,NEGATIVO,NEUTRO
la historia primero como mito más tarde como mito irónico de la credulidad a la incredulidad y los que vendrán no sabrán que los iniciadores irónicos lo hacían con ironía solo recibirán el ritual en su aspecto formal en el que se volverá a creer,POSITIVO,POSITIVO,NEUTRO
estoy tan descansado que necesito algo que hacer,NEUTRO,NEGATIVO,POSITIVO
por la película dije nando parrado tiene que ser sagitariano qué tipo optimista busco su fecha de nacimiento de diciembre si conoceré mi signo,POSITIVO,NEGATIVO,POSITIVO
días de mucha reflexión pero mucha mucha gratitud,NEUTRO,POSITIVO,POSITIVO
hoy me dijeron que yo era una niña exitosa y no me lo creí hasta que mire a mi alrededor y fíjate todo lo que he logrado solita,POSITIVO,POSITIVO,POSITIVO
ojo hermanos nicaragüenses hay muchos corruptos de guatemala llegando a su país en avionetas con pacas de efectivo ese dinero es del pueblo de guatemala mejor a que se lo gocen los corruptos mejor repartirlo entre el pueblo,POSITIVO,POSITIVO,NEGATIVO
ni modo tocó independizarse rápido,NEUTRO,NEUTRO,NEUTRO
no sé qué cambio pero algo es mejor estoy seguro,POSITIVO,POSITIVO,POSITIVO
hagamos un hilo de las veces q max se ha sonrojado por culpa de checo,NEGATIVO,NEGATIVO,NEUTRO
que pasaría si un capitulo de what if temporada es una parodia autoconsciente de jungla de cristal,NEGATIVO,NEGATIVO,NEUTRO
despreocupado porque nadie se a visto que me diga las cosas en la cara,NEUTRO,NEUTRO,POSITIVO
especialmente titubeante pagni le salva las papas olivera con sutiles correcciones la está trabajando de duro aburrido,NEGATIVO,NEGATIVO,NEGATIVO
bravos es el verdadero medidor de leones con ellos o clasificamos o nos eliminan está bien claro quiénes son los que van a pelear siendo la guaira un cupo seguro realmente solo queda,POSITIVO,NEUTRO,NEUTRO
no logro sentirme bien con mi cuerpo,POSITIVO,POSITIVO,NEGATIVO
como digas no voy a rendirme está decidido,POSITIVO,NEGATIVO,POSITIVO
me agradan las personas donde el silencio no es incómodo,NEGATIVO,NEGATIVO,POSITIVO
quien fue el envidioso ke me tiro mal de ojo para que me salieran mil granos,NEGATIVO,NEGATIVO,NEGATIVO
a veces uno se siente desconcertadoporque no entendemos nada de lo que hacemos el día pasa tan rápido y la vida también,POSITIVO,NEGATIVO,NEGATIVO
extraño esa figura en la casa que estaba atento a todo resolvía y ayudaba a mi mama y a mí,NEUTRO,NEGATIVO,NEGATIVO
dimos a un cp retirado y lo peor de todo es que fuimos estafados,NEGATIVO,NEGATIVO,NEGATIVO
decidí hablar más a profundidad de esto porq necesito sacarlo de mi sistema la maldición de desaparecer no se trata de que day perdiera la vista si no como lo hizo sentir esa noticia day estaba desapareciendo porque se había aislado del mundo lasttwilightseriesep,NEGATIVO,NEGATIVO,NEGATIVO
ser constructivo significa construir y a veces hay que destruir antes eso pasa cuando fallan los cimientos nunca es trade para una reconstrucción,POSITIVO,POSITIVO,POSITIVO
no me extraña que se hayan alejado amistades definitivamente no soy la mimsa persona q conocieron,NEGATIVO,NEGATIVO,NEUTRO
llevo días con el abdomen distendido por una salchicha suiza que le comí mi mamá inmediatamente eso es el ron,NEUTRO,NEGATIVO,NEGATIVO
hablas del abuso reactivo hasta hace un momento no tenía idea de que era ojalá reconocieras todas esas veces que abusaste psicologicamente y emocionalmente sobre mi y me quede callado culparme a mi de todo es fácil pero si te conocieran de verdad,NEUTRO,NEGATIVO,NEGATIVO
las personas somos to complicas en verdad paz y amor,NEUTRO,NEUTRO,POSITIVO
mi corazón en estos momentos está adormecido no siento ninguna emoción como antes me siento vacío no estoy ni feliz ni triste solo estoy emocionalmente agotado y cansado,NEGATIVO,NEGATIVO,NEGATIVO
cuando el alma recuerda sus vínculos el miedo se transforma en osadía y el corazón se apodera de lo que le pertenece,POSITIVO,NEUTRO,POSITIVO
ahorita hay desaparecidas jovenes mante tamaulipas y una en madero les recomiendo poner la denuncia antes las autoridades correspondiente para que queden antecedentes probablemente un policia se ofrezca a negociar la liberacion es el modus operandi de policia y delincuente,NEUTRO,NEGATIVO,NEGATIVO
para las compras puedo ser tan compulsivo como mi madre o tan codo como mi padre,NEGATIVO,POSITIVO,NEUTRO
como ví en tiktok que hay que ocuparse en vez de preocuparse pero no encuentro un cardiólogo que me dé bola hice lo más proactivo que un ser humano que se va a operar puede hacer compré media docena de bombachas,POSITIVO,NEUTRO,POSITIVO
el fandom boss habla hispana es el fandom más envidioso que he conocido muy el internacional es,NEGATIVO,POSITIVO,NEGATIVO
es increible que esten culpando a duque cuando existe una prorroga y un acuerdo que conocian hace mas de un año con laa fechas de pago el petrismo si es que tiene mucho incapacitado mental,NEGATIVO,NEGATIVO,NEGATIVO
en una cuenta está enojado conmigo y en la otra me ama jajajajajqj,NEGATIVO,NEGATIVO,NEUTRO
mi sueño frustrado no era ser gótica era ser romántic goth,NEGATIVO,NEGATIVO,NEGATIVO
pero que manflorón canturreador insoportable afectado y pelotudo es fernando dente,NEGATIVO,NEGATIVO,NEGATIVO
el gato acaba de decir que denis tiene ganas de culear lo incomodo que esta bautista granhermano,NEGATIVO,NEGATIVO,NEGATIVO
estoy segurisima que en algún momento todo deja de doler por ahora no pero en algún momento seguro que si,NEUTRO,NEGATIVO,POSITIVO
night un personaje tan incomprendido,NEGATIVO,POSITIVO,NEGATIVO
que tierno es mi vato alv lo amo,NEUTRO,NEUTRO,POSITIVO
quien vergas quiere entrar a mi twitter que me manda la alerta,NEUTRO,NEGATIVO,NEGATIVO
yo soy team ambas y tu,NEUTRO,NEGATIVO,NEUTRO
qué chistosa es lizli dice que no puede cometer errores cómo si por eso hubiera perdido,NEGATIVO,NEGATIVO,NEUTRO
locura es vivir abatido y caminar medio dormido,NEGATIVO,NEGATIVO,NEGATIVO
problema resuelto así resuelvo todo últimamente,NEUTRO,POSITIVO,POSITIVO
en el pc y sus hijos fa no hay siquiera principios solo podredumbre en sus estructuras de formación por fines de poder y destrucción de institucionalidades que han sabido tapar su mal olor con cualesquier disfraz y desvergonzado acto de fantasías revolucionarias,POSITIVO,POSITIVO,NEGATIVO
mi jefa me dejó como tarea para mañana limpiar la parte de bazar y me dijo sari por favor no rompas nada de vidrio jajajaja ya sabe que soy torpe,NEGATIVO,NEUTRO,NEUTRO
chau más de una hora,NEGATIVO,NEGATIVO,NEUTRO
alchile si acabé bien confundido viendo el niño y la garza,NEGATIVO,NEGATIVO,NEGATIVO
pensar en el bienestar de los demás y olvidar el mío es siempre mi error porque ni siquiera yo veo lo afectado que estoy hasta que colapso,NEGATIVO,POSITIVO,NEGATIVO
varane no me apetece nada de nada su nivel ha bajado muchísimo ha estado en varias ocasiones que ha perdido la titularidad y luego cuando ha vuelto ha estado demasiado titubeante yo buscaría otras opciones por ejemplo laporte aunque creo que es difícil sacarlo de allí,NEGATIVO,NEGATIVO,NEGATIVO
titular suprema corte designará juez para investigaciones de diputados vinculados a lavado de activos pregunta no sale más barato comprar una lavadora en seco y usar detergente proactivo,POSITIVO,POSITIVO,NEGATIVO
granhermanoargentina rosina esta desconfiando de alanahora furia si sabe lo que pasó entre alan despechadopor fin gente se va a armar quilombo para alan,NEGATIVO,NEUTRO,NEGATIVO
que tiene como casi dos horas viéndose la espalda jusjsksjs y casi que siendo más flexible que yo solo para vérselo jajajajs es súper raro ayuda saquenme de aquí,NEUTRO,NEGATIVO,NEGATIVO
y lo mismo con el pan de muertos no podrían dejarse de estúpidos experimentos y seguir vendiendo el pan de siempre no son computadoras a las que hay que cambiar el procesador ni coches que tengan que ser eléctricos es pan y nada más qué exasperante,NEGATIVO,NEGATIVO,NEGATIVO
encima hace poco me enteré que dejaron de existir las transferencias en efectivo del prosegur ahora es todo digital ya no te permiten ni soñar en este pais,POSITIVO,NEGATIVO,NEGATIVO
yo solo quiero ir a un concierto del travieso,POSITIVO,POSITIVO,NEUTRO
creo que pediré pan xd,NEGATIVO,NEGATIVO,NEUTRO
es distinto estar solo a estar en solitario,NEGATIVO,NEGATIVO,NEUTRO
ya quiten esa mamada de anular mensaje en insta puro infiel o wey con el ego inquebrantable lo usa,NEUTRO,NEGATIVO,NEGATIVO
erda que risa la vez que dije que había escuchado que el futbol europeo era un hueso de la nada un random en la calle enseguida me dice khe con una cara de incredulidad,POSITIVO,POSITIVO,POSITIVO
la gente de vélez siempre fue bastante vaga pero lleva años fanatizandose cada vez más y la cd anterior no hizo nada para fomentarlo esta entiende que conviene más que mil nuevos se quieran hacer socios y paguen que tener una platea cara e inaccesible es simple la estrategia,NEGATIVO,NEGATIVO,NEUTRO
cuidado con el que juega a ser extrañado porque termina olvidado next,POSITIVO,NEGATIVO,NEGATIVO
vengo a divulgar tu nombre san cipriano en agradecimiento por estar trabajando a mi favor amén,NEUTRO,NEUTRO,POSITIVO
ser víctima de amor es sufrir los dolores ajenos pero muy principalmente los dolores del corazón de cristo,NEGATIVO,NEGATIVO,NEGATIVO
poco a poco estoy cumpliendo mi wish list pendiente siempre agradecido por el trabajo que tengo pero diosito necesito más para cumplirlos todos,NEUTRO,NEGATIVO,POSITIVO
hola ya volví y en un rato me pondré al corriente con los dms o por lo menos hasta donde me alcance la mente para responder roles por lo pronto ya me siguen en candado si no qué esperan,NEUTRO,NEUTRO,NEUTRO
christian castillo indignado y furioso con el cárcel o bala cuando su ideología mató a millones de seres humanos en muchos lugares del planeta somos el mejor país del mundo,NEGATIVO,NEGATIVO,NEGATIVO
la soledad es peligrosa es muy adictiva se convierte en un hábito cuando te das cuenta de lo tranquila y apacible que es es como si ya no quisieras tratar con las personas porque te agotan la energía jim carrey,NEUTRO,NEUTRO,NEUTRO
que viva la coma y el acento,POSITIVO,NEGATIVO,POSITIVO
yo a mi hermana de años sabes q esta cancion es del d los jonas brothers ella indiferente yo ella yo marilia sabes quienes son los jonas brothers verdad ella no yo camp rock ella solo conozco a bad bunny de cantantes,NEGATIVO,POSITIVO,NEUTRO
ja to impaciente ja,NEGATIVO,POSITIVO,NEGATIVO
con profundo dolor y tristeza recibimos este día la noticia del fallecimiento en un accidente automovilístico de tres servidores de la nación que colaboraban con el apoyo a la reconstrucción de acapulco nuestra eterna gratitud y nuestro profundo reconocimiento para ellos hasta el cielo a sus familiares amigos y compañeros las más sentidas condolencias a nombre del pueblo acapulqueño toda su labor será siempre reconocida en esta ciudad que hoy eleva una oración en su nombre,NEUTRO,NEUTRO,NEGATIVO
para mi suerte soy alto resentido,NEGATIVO,POSITIVO,NEGATIVO
cómo me cae gordo el akihiko nomás me puse a ver given the movie para hacer corajes con ese cara de pedo viejo naco y estúpido come cuando hay nada queveriento nunca querrá como se debe a haruki y lo saben perfectamente,NEGATIVO,POSITIVO,NEGATIVO
he salido a por un regalo de última hora y un tipo fachapobre irritado porque compró nosequé muy caro pero le faltan las pilas estoy por regalárselas yo menuda alteración me lleva y yo sólo voy por un perfume,NEGATIVO,NEGATIVO,NEGATIVO
juanchaco en buenaventura inundado de basura temporada de turismo y te recibe un basurero en el muelle muy mala impresion para el turista,NEGATIVO,NEGATIVO,NEGATIVO
entre más reservado seas mejor te va a ir en la vida,NEGATIVO,NEUTRO,POSITIVO
me sorprende la cantidad de pornx animado que hay osea a quien le puede calentar eso,POSITIVO,POSITIVO,NEUTRO
ah ojalá poder guardar el día de hoy en un lugar de mi cabeza que pueda verlo siempre y volver a sentirme igual de apacible y feliz,NEUTRO,NEUTRO,POSITIVO
agarrece oyó papito,NEUTRO,POSITIVO,NEUTRO
el agradecimiento es la memoria del corazón franco escamilla,NEUTRO,NEUTRO,POSITIVO
gelp no tenes una puta idea los días que estuvimos sin poder dormir mientras vos te sacas fotitos y ahora en el con rivotril en la mesa de luz son unas bestias,NEGATIVO,NEUTRO,NEGATIVO
la aristocracia izquierdista mexicana tiembla con la candidatura de xóchitl en tanto pase más tiempo y se acerque el de junio su imagen esperanzadora crecerá imparable la bestia se sentirá amenazada y su vida estará en riesgo xóchitl las providencias no están de más,POSITIVO,POSITIVO,POSITIVO
sonrojado,NEGATIVO,NEGATIVO,NEUTRO
hemos vuelto a ir al hospital porque el cólico de riñón no mejora después de días se han negado a hacerme una ecografía porque tenían el hospital saturado de covid y gripe a que si quería me hacían otra analítica sigo sin saber si aun tengo la piedra y es lo que me mata,NEGATIVO,NEGATIVO,NEGATIVO
por otro año siendo un naco y estupido,NEGATIVO,NEGATIVO,NEGATIVO
para ser novio de nacha tienes que tener una paciencia del tamaño del pacífico cabrón o sea porque ella si no esta bien peina hay un pedo si le ponen la uña mal hay un pedo neta es mi audio más personal,NEUTRO,NEGATIVO,NEGATIVO
de las cosas que me han llenado y calmado es haber hablado con david no recuerdo cuánto tiempo tenía de no hablar con alguien así,NEUTRO,NEUTRO,POSITIVO
me acaban de hacer el mejor cumplido de mi vida me dijeron que al mirarme veían a mi abuelo,POSITIVO,POSITIVO,POSITIVO
estas rocas contribuyeron más adelante a probar que la antártida se había desgajado tectónicamente de un continente inmenso del que australia la india áfrica madagascar y suramérica se habían separado desmigajado perdido,NEGATIVO,NEGATIVO,NEUTRO
soñe que me escribia que se habia confundido conmigo y que queria que nos volvamos a ver segui soñando oriana,NEGATIVO,NEGATIVO,NEGATIVO
ando bien protegido desde allá del cielo,NEUTRO,NEGATIVO,POSITIVO
es un golazo pero la falta de contundencia contundensia es desesperante el equipo se ha caído desde el empate y los cambios dignos de un demente han desconcertado aún más al equipo,NEGATIVO,NEGATIVO,NEGATIVO
to cansado teo,NEGATIVO,POSITIVO,NEGATIVO
en trujillo y en todo el perú te chocan y el tiempo de espera para resolver una denuncia es de meses cuando si hubieran cámaras en la calles fuera más rápido crj aquí soñando jajaj mpt,NEUTRO,NEUTRO,NEGATIVO
to preocupado,NEGATIVO,POSITIVO,NEGATIVO
no hago el cyr de los celos porque yo soy bien pero bien celoso,NEGATIVO,NEGATIVO,NEGATIVO
mi problema es que cuando yo amo a alguien lo amo al punto de que soy capaz de cualquier cosa por esa persona como se desactiva esa opción,POSITIVO,NEUTRO,NEGATIVO
nmmn ya no habia visto al mateo y ya es muy grande y más travieso,POSITIVO,NEGATIVO,POSITIVO
hoy en el hospital mi paciente casi se shockea por una hemorragia y me tuve q pelear con personas en cuestión de media hora para actuar rápido mi cabeza no se explica como hay gente que en vez de colaborarte estorba,NEUTRO,NEUTRO,NEGATIVO
cómo leandro n tengo calle y te desarmo sin que te des cuenta con blanca voz gruesa barry allenm en un flash quieren volver al pasado por eso van tan rápido intrépido descaro cuando no se puede construir nada se constituye el daño,POSITIVO,NEGATIVO,NEGATIVO
por esta vida de mierda gracias gracias gracias,NEGATIVO,NEUTRO,NEGATIVO
les deseo lo mejor a los dos por separado que sean muy felices con quienes quieran me voy,NEGATIVO,NEGATIVO,POSITIVO
relajado que yo no las quiero para ping,NEUTRO,NEUTRO,NEUTRO
que manera de chuparle el pico al weon fome y somnoliento de felipe avello los culiaos,NEGATIVO,NEGATIVO,NEGATIVO
estar conmigo debe ser molesto,NEGATIVO,NEGATIVO,NEGATIVO
simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace,NEGATIVO,NEGATIVO,NEGATIVO
pensé que me había vuelto mejor por mi forma de afrontar últimamente las cosas pero no estoy tan frustrado que bloqueo todo porque no tengo la intención de lidiar con algo,NEGATIVO,NEGATIVO,NEGATIVO
mañana viajo muy lejos solo por primera vez estoy demasiado nervioso preocupado todo,NEGATIVO,NEGATIVO,NEGATIVO
la cantidad de gatos que hay acá amigo no no es una cosa increíble nunca jamás ví algo igual estupefacto deben de parir como gatas por día,POSITIVO,POSITIVO,POSITIVO
todo sería mejor y más rápido si este año no fuera bisiesto,NEUTRO,NEGATIVO,NEGATIVO
tan transparente como inaccesible,NEGATIVO,POSITIVO,NEUTRO
no se ouede ser más molesto maricon te dijebq estoy haciendo tarea deja de chingarme la madre,NEGATIVO,NEGATIVO,NEGATIVO
situación sala de espera de sanatorio cardiovascular familia esperando a hija en operación por acv tres horas de operación sin obra social esta chica estaría muerta el sistema público está colapsado donde va a parar la gente que no pueda pagar la os triste,NEGATIVO,NEGATIVO,NEGATIVO
y bueno después de mucho tiempo caí en cama muy dolorido pero pronta recuperación,NEGATIVO,NEGATIVO,NEUTRO
creo que aún tengo que ser más reservado con mis cosas no puede ser que no me salga una,NEGATIVO,NEGATIVO,NEGATIVO
a los de jxc y periodistas que estan defendiendo y justificamdo este robo y ataque desvergonzado a la gente hay que dejarles claro que de esta no se vuelve nunca mas nolaven lacastaerasvos,POSITIVO,NEGATIVO,NEGATIVO
me cae bien el nuevo yo blindado emocionalmente y selectivo con mi círculo,NEUTRO,NEUTRO,POSITIVO
hoy en autobi bajando san cristóbal me robaron q porque fui a pagar la colegiatura de mi hija y el receptor me dice que faltan mil pago más de k de colegiatura los cuales la secretaria y yo contamos el dinero por separado aún así desconfiado los volví a contar sigue,NEGATIVO,NEGATIVO,NEGATIVO
por si no me conocen tengo cara de bebé de bebedor compulsivo,NEGATIVO,NEGATIVO,NEGATIVO
una pena lo de oklahoma revivieron muy muy tarde igual estan haciendo mas condecorosa una derrota que era por mas de,NEUTRO,NEUTRO,NEGATIVO
algún veterinario competente al que pueda acudir en madrid,POSITIVO,NEGATIVO,NEUTRO
me levante tan desorientado marica que mi mama me llamo y pense que era el dia siguiente a las am,NEGATIVO,NEUTRO,NEGATIVO
yo soy ateo por muchas razones pero la principal es que estaría demasiado avergonzado de no serlo giovanni di gregorio,NEGATIVO,NEGATIVO,NEGATIVO
odio no poder dejarte de ver con estos ojos que solo ven ternura en vos después de todo,NEUTRO,NEGATIVO,NEGATIVO
uggggggh la urgencia de algo espontáneo me mata,POSITIVO,POSITIVO,NEGATIVO
mañana terminare el zeldano al la verdadel juego me encantóhace mucho que no disfrutaba de un juego en solitariome gustaría tenerlo al pero nopronto empiezan mis clases además que son muchas cosas que no pienso hacerahora me siento vacíopensando y escuchando toda,NEGATIVO,NEGATIVO,NEGATIVO
porque conversando de las costumbres de uno no decimos que es sabio ni que es discreto sino que es benigno y sosegado en su vivir ética a nicómaco aristóteles,NEGATIVO,NEGATIVO,POSITIVO
acaba de abrir la boca de golpe su rostro hasta se ha sonrojado no esperó aquel repentino y avergonzado movimiento oye protestó no he hecho nada malo sí solo estuve cantando,NEGATIVO,NEGATIVO,NEGATIVO
la diosa indica que el objetivo es conocerlo todo tanto el corazón imperturbable de la verdad bien redonda como las opiniones de los inmortales que no cabe creencia verdadera,POSITIVO,POSITIVO,NEUTRO
es real y es hoy cada hrs una mujer en honduras es asesinada hoy mujeres asesinadas exigimos investigación judicialización y erradicar la impunidad y estratégica de seguridad ciudadana tsi,POSITIVO,NEUTRO,NEGATIVO
mi meta es ser audaz la excelencia mi fin,POSITIVO,NEGATIVO,POSITIVO
no se si soy yo o cada vez estas mas distante de mi,NEGATIVO,NEUTRO,NEGATIVO
lenia batres flamante ministro de la suprema corte de justicia muestra la cara oculta de la luna con un realismo pasmante que nos augura su futuro desempeño al frente de su nuevo desempeño pensé que era falso pero veo atónito que es verdad fueraeldictador undermywriting umw,POSITIVO,POSITIVO,POSITIVO
lo que más odia el rebaño es aquel que piensa de modo distinto no es tanto la opinión en sí sino la osadía de querer pensar por si mismo algo que ellos no saben hacer arthur schopenhauer,POSITIVO,POSITIVO,NEUTRO
tengo ganas de dar un mega tour por los museos de la provincia pero una re paja el calor tienen que hacer un turno noche,NEGATIVO,NEGATIVO,NEUTRO
estoy harto,NEGATIVO,NEGATIVO,NEGATIVO
funcionó ser plaga lgm era más sencillo y efectivo sin importar que,POSITIVO,POSITIVO,POSITIVO
amo el olor a hierba luisa me ha calmado bastante,NEUTRO,NEUTRO,POSITIVO
si el experimento libertario de resulta ser exitoso y si demuestra que un país puede funcionar sin chorrearle la guita a los ciudadanos léase impuestos en verdad pensaría irme a vivir a argentina mantener parásitos me tiene las bolas llenas taxationistheft,POSITIVO,NEGATIVO,NEGATIVO
hpta jajaja me empieza a gustar de verdad y ya lo siento distante,NEGATIVO,NEGATIVO,NEGATIVO
amo demasiado la voz de minho es tan suave tan dulce en serio amo escucharlo cantar,NEUTRO,NEUTRO,POSITIVO
todos los especialistas de la pasión nos lo dicen no hay amor eterno si no es contrariado no hay pasión sin lucha,NEGATIVO,NEGATIVO,NEUTRO
viendo la televisión y que veas a susana díaz expresidenta de andalucía moralizando sobre todo viniendo de donde viene la andalucía socialista de los eres y del psoe no deja de dejarme perplejo,POSITIVO,NEGATIVO,NEGATIVO
