id,tweet_original,sentimiento_real,pred_ml_tradicional,correcto_ml
70,busco una calma inalcanzable la atmósfera aquí no es fiable quiero estar solo si solo todo estará bien,NEUTRO,NEUTRO,True
71,hola buenos días siempre somos y seremos invencibles fuerte como el acero y poder enfrentar toda debilidad que venga para salir victorioso por nuestra venezuela grande y prospera con nuestro presidente nicolás maduro y su tren ejecutivo victoria,POSITIVO,POSITIVO,True
72,mi primer artículo del año es super optimista todavía no lo entrego y yo creo que ya será hasta después del fin de semana que lo haga pero me impacta como me sale el optimismo cuando veo las tendencias,POSITIVO,POSITIVO,True
73,darme cuenta de todo lo que he avanzado sanado y logrado en estos últimos cinco meses de mi vida es maravilloso,POSITIVO,POSITIVO,True
74,observar esperar y ganar el presidente donald trump publicó este vídeo que debe ver en truth social esta mañana tras la exposición masiva de la pedofilia del estado profundo en un movimiento asombroso que ha causado conmoción en todo el panorama político donald trump,POSITIVO,POSITIVO,True
75,me di una vuelta por x para descubrir asombrado que publicación de las listas de epstein resucitó a todos los conspiracionistas desatados que vacunas con chip g hillary violando niños en una pizzería el fraude electoral de trump volvió todo hay gente muy rara en este mundo,POSITIVO,POSITIVO,True
76,firmeza malokeira de quebrada,POSITIVO,POSITIVO,True
77,aiga sido como haiga sido el gober quiere al señor de apellido de tienda comercial como candidato lo que no sé es que lo quiera de presidente municipal pues parece que el de la oposición no le es indiferente no tengo pruebas pero no tengo dudas ja,POSITIVO,POSITIVO,True
78,matt estaba sentado en su escritorio soñoliento y encorvado se espabiló un poco cuando neil cerró la puerta tras de sí y este vio la preocupación en su rostro iluminado por el monitor del ordenador el hecho de que matt se había quedado despierto a esperarlo,NEGATIVO,NEGATIVO,True
79,hay días en que se siente la necesidad de sentarte en un sofá placido de esos que por el pasar del tiempo nos invitar a quedarnos y hablar sabroso saben esas conversaciones sobre arte sobre cine esas pláticas sobre el hedonismo de coincidir en gustos o poder aprender,NEUTRO,NEGATIVO,False
80,me retiro un tiempo del fútbol o me apasiono más cabrón de lo que me he apasionado en mi vida no va a haber punto medio esta temporada,NEUTRO,NEGATIVO,False
81,los plebeyos se juntan con plebeyos les pone incomodos la abundancia la prosperidad les pone incómodos alguien que siempre esté hablando de progreso nunca vas a ver a un hombre exitoso con una mujer pobre de mente a su lado,POSITIVO,POSITIVO,True
82,saber que con quien estuve románticamente me faltara el respeto cuando yo no estaba presente me dejó tan boquiabierto,POSITIVO,POSITIVO,True
83,que hermosas son las vacaciones en la costa completamente desconectado del mundo y del celular como nunca antes en el año,NEGATIVO,NEGATIVO,True
84,le doy gracias a diosito por haberme alejado de esa familia,NEGATIVO,NEGATIVO,True
85,qjsjs seguro la otra no le dice que es hermoso como yo le decia pero a el le gano el orgullo y buee,NEUTRO,POSITIVO,False
86,mi hermana una vez me juró que a las niñas les gusta más el más risueño y no el más guapetón,POSITIVO,NEGATIVO,False
87,si va a llover que refresque sino que ni lluevaaaaaa,NEGATIVO,NEGATIVO,True
88,the marias merece más reconocimiento,NEUTRO,NEUTRO,True
89,mi cuñado es el más atento,NEUTRO,NEUTRO,True
90,el antídoto nos será útil durante su recuperación diluye la esencia de los pétalos y mézclala con un reactivo para neutralizarlo luego lleva la mezcla a punto de ebullición y agítala bien,NEUTRO,NEUTRO,True
91,estoy cansado pepe,NEGATIVO,NEGATIVO,True
92,una mujer observa su cuerpo intranquila como si fuera un aliado poco fiable en la lucha por el amor unidostodosx dezurdateam,NEUTRO,POSITIVO,False
93,las personas que tienen lo material resuelto tienen que empezar a cerrar el orto,NEUTRO,POSITIVO,False
94,viendo por youtube las distintas celebraciones de reyes de américa latina una gran variedad de costumbres y tradiciones,POSITIVO,POSITIVO,True
95,quiero renunciar solo para tener mi liquidación xd quiero irme de viaje amigos,NEGATIVO,NEGATIVO,True
96,quien fue el envidioso ke me tiro mal de ojo para que me salieran mil granos,NEGATIVO,POSITIVO,False
97,mis condolencias para la familia y amigos de carlos bremer fue un gran impulsor y apasionado del deporte mexicano agradezco sinceramente cada atención que tuvo hacia mí recordaré con mucho cariño su legado,NEUTRO,NEUTRO,True
98,si no hubiera pasado lo que pasó en guatemala mi tuiter estaría inundado de puro amortz del amor inmenso que tengo por un hermoso ser,NEGATIVO,NEGATIVO,True
99,amigo q hueso que estoy en el bass toy frustrado,NEGATIVO,NEGATIVO,True
100,que saturado q estoy,NEGATIVO,NEGATIVO,True
101,ese último ingreso sí me partió la madre la vida mip no es como la imaginaba estado cansado y desilusionado hasta eso la comida está buena eso me mantiene de pie,NEGATIVO,NEGATIVO,True
102,tobias podra ser desalentado poco agraciado no carismatico sin buen fisico pero nunca caeria mal,NEGATIVO,NEGATIVO,True
103,hoy en autobi bajando san cristóbal me robaron q porque fui a pagar la colegiatura de mi hija y el receptor me dice que faltan mil pago más de k de colegiatura los cuales la secretaria y yo contamos el dinero por separado aún así desconfiado los volví a contar sigue,NEGATIVO,NEUTRO,False
104,llorando y viendo el asombroso mundo de gumball terapia si preguntan,POSITIVO,POSITIVO,True
105,desconcertado de la realidad que vivo y mi subconsciente,NEGATIVO,POSITIVO,False
106,llámenme osado pero a lo que le dicen calidad de vida en mis libros es más como cantidad de vida,POSITIVO,POSITIVO,True
107,lovesongforillusionep un chico que fue maltratado en su infancia desarrolla doble personalidad uno es irreverente e intrépido el otro es amante de las artes y la costura una noble destronada busca venganza ellosformarán equipo park jihoon es garantía,POSITIVO,POSITIVO,True
108,alerta urgente el viento ha causado caidas de arboles postes de electricidad importantes destrozos en huinca renanco y zona,NEUTRO,NEUTRO,True
109,qué chistosa es lizli dice que no puede cometer errores cómo si por eso hubiera perdido,NEGATIVO,NEGATIVO,True
110,el conicet tendria q haber inundado el pais con repelentes,NEGATIVO,NEGATIVO,True
111,de manera apacible se puede sacudir el mundo mg,NEUTRO,NEGATIVO,False
112,ah no la culpo hm ya entiendo supongo que sí sale victorioso un tema de inferioridad no debería ser problema,POSITIVO,POSITIVO,True
113,que pasa cheeeee como andan yo aquí sin poder rankear por que no arreglan los puts servers de r de mrd,POSITIVO,NEUTRO,False
114,soy un soñador pero dormido no estoy,NEGATIVO,NEGATIVO,True
115,bendecido por tener a mis padres un año más y haber hecho otro viaje juntos,NEUTRO,NEUTRO,True
116,el debido proceso debe ser agotado,NEGATIVO,NEGATIVO,True
117,por cierto tener que envolver un banco de musculación es una pésima experiencia me quedé sin papel y tuve que mezclar dos,NEGATIVO,NEUTRO,False
118,fue un día muy largo y productivo me parece un planazo darme un baño y acostarme a ver la nueva serie de harlan coben,POSITIVO,POSITIVO,True
119,la mayor de las hermanas me pregunta a gabbai si sería muy osado pedirle que la acompañase hasta al menos el comienzo del pasillo de su alcoba está un poco oscuro y parece no confiar demasiado en nadie el hombre asiente no sin antes mirar a harahel disculpándose hasta,POSITIVO,POSITIVO,True
120,junte mis pedazos y construí una versión de mi que es más valiente y se anima a ser lo que yo ayer no fui,POSITIVO,POSITIVO,True
121,convocatoria de plazas teamdaisy r cumplidos en tan solo días de este mes de enero de varios alumnos aprobando cuentas fondeadas en menos de una semana ambiente distendido formal y técnico en tg y discord sesiones de londres nueva york y permanentes criptomaterias primas durante enero abrimos convocatoria para plazas en la academia por favor mándenme enero al md para reservar la suya,NEUTRO,NEUTRO,True
122,exitoso hombre de negocios,POSITIVO,POSITIVO,True
123,ahorita hay desaparecidas jovenes mante tamaulipas y una en madero les recomiendo poner la denuncia antes las autoridades correspondiente para que queden antecedentes probablemente un policia se ofrezca a negociar la liberacion es el modus operandi de policia y delincuente,NEUTRO,POSITIVO,False
124,prime video está underrated me ha sorprendido bastante,POSITIVO,POSITIVO,True
125,hoy he extrañado a mi hermana más que nunca,POSITIVO,NEGATIVO,False
126,por lobby que se junten en la casa de un senador a conversar cosas en un ambiente más distendido que no esté la prensa para poder afinar las cuerdas me parece válido debería transparentarse y ser normado iván weissman editor de el mostrador semanal juntosyrevueltos con fran castillo,NEUTRO,NEUTRO,True
127,es distinto estar solo a estar en solitario,NEGATIVO,NEGATIVO,True
128,marico que arrechera cuando uno hace el trabajo de uno bien y en el momento que se lo piden pero cuando espero algo de la otra persona no le veo interés ni siento que se mueva para resolver rápido lo que le toca hacer,NEUTRO,NEGATIVO,False
129,que zalaquett haga una junta en su casa con ministros del actual gobierno y empresarios influyentes no es normal y no es normal x el funcionamiento del pais x la esperanza de disyuntiva competente aspirando a balance en decidir no defiendan wns ciudadanos tiemposviolentos,POSITIVO,POSITIVO,True
130,los valientes fueron antes cobardes si eres un pequeño cobarde puedes ser un gran valiente,POSITIVO,NEGATIVO,False
131,indignado porque regalaron mi protector solar,NEGATIVO,NEGATIVO,True
132,este lunes ya empiezo con mi glow up asegurado,NEUTRO,POSITIVO,False
133,q gracioso q la hayan sacado a la pepona se descansan solitos jakjajk,POSITIVO,POSITIVO,True
134,por esta vida de mierda gracias gracias gracias,NEGATIVO,NEUTRO,False
135,me agradan las personas donde el silencio no es incómodo,NEGATIVO,POSITIVO,False
136,me parece más divertido ver a las furiosas cocinar que a los boludos bailando granhermano,POSITIVO,POSITIVO,True
137,hoy estoy triste y enfadada porque me han perdido un envío con una obra original y le han fastidiado las fiestas a unas cuantas personas,NEGATIVO,NEGATIVO,True
138,bueno reyes ha caído en sábado día no laborable de todos modos así que ni hace puente festivo ni nada de nada no me consta que ninguna comunidad autónoma lo haya dejado para el lunes que hubiera sido una tontería,POSITIVO,NEUTRO,False
139,creo que sin ser optimista no se puede ser revolucionario porque las dificultades que una revolución tiene que vencer son muy serias y hay que ser optimistas un pesimista nunca podría ser revolucionariofidelporsiempre latirxunavileño,POSITIVO,NEGATIVO,False
140,argentina está tan a fondo en el choreo y currerío que es muy difícil de curar a pleno aunque parezca que hay una oportunidad si no querés perder tu vida esperanzado por años la salida es y siempre será ezeiza,POSITIVO,NEGATIVO,False
141,pues ando contrariado,NEGATIVO,NEGATIVO,True
142,tener el abdomen distendido pues claro que si y comerme un chocolatico aunque pueda ponerme peor también,NEUTRO,NEUTRO,True
143,me sorprende la cantidad de pornx animado que hay osea a quien le puede calentar eso,POSITIVO,POSITIVO,True
144,ver como llevan con mucha ilusión los juguetes para sus hijes ha sido mi dosis de serotonina estos días alch que bonito hasta olvido lo saturado que va el metro,NEGATIVO,NEGATIVO,True
145,gelp todas buenas noticias cowen se fue tarragona se fue guiffrey que pelotudo fuiste saravia no quiere estar más benja ni noticias sos un crackkkkkk,NEGATIVO,NEUTRO,False
146,lo caída que está la página del movistar que intento entrar a mis compras para ver la entrada y no carga no desesperare se que esta colapsado,NEGATIVO,NEGATIVO,True
147,abuelo de asambleista valentina centeno sufrió asalto y robo en su domicilio de portoviejo al ser repelido el ataque con arma de fuegose impactó a un delincuente en la cabeza el delito común crece y no se puede estar esperanzado solo en lo que vendrá en meses,POSITIVO,POSITIVO,True
148,mi cuñado dijo algo asombroso soy hombre no puedo hacer dos cosas a la vez,POSITIVO,POSITIVO,True
149,reactivo,NEUTRO,NEUTRO,True
150,déjame que te pueda cantar lo que nunca debí de callarme contigo soy tu cara y tu cruz soy tu guerra y tu paz soy todos los que aquí me escucháis soyy,NEUTRO,NEGATIVO,False
151,todos dormidos y suena la alarma de la casa mi hermano pregunta que quien abrió alguna ventana o puerta y evidentemente nadie fue acto seguido el dispositivo dice en altavoz por allá lejos que han desconectado la corriente y sólo pensé valí verga todo esto a las am,NEGATIVO,NEUTRO,False
152,soy competente consciente de que estoy dando verguenza en la privada,POSITIVO,NEGATIVO,False
153,me siento muy abrumado,NEGATIVO,NEGATIVO,True
154,si me duermo a las me levanto a las fresco como una lechuga ah pero si me duermo a la me levanto a las todo amodorrado y cuasi crudo como si me hubiera ido de peda,NEGATIVO,NEUTRO,False
155,dias muy caloroso,NEUTRO,NEUTRO,True
156,la violencia se recrudece el demagogo minimiza o se burla tres personas que buscaban candidaturas de oposición han muerto en las últimas horas dos de la alianza en morelos y chiapas y uno de mc en colima qué se necesita para dejar de ofrecer abrazos y ofrecer protección,NEUTRO,NEUTRO,True
157,hasta que me muera encogió los hombros despreocupado a pesar de todo no había planteado el dejar de fumar nunca no si incluso se drogaba con pastillas qué más le da,POSITIVO,NEGATIVO,False
158,es paete del trato dixe el sistrma penal de jsitiica caoigal del pais y aki ests mi travesura dice el guero,POSITIVO,NEUTRO,False
159,entiendo el que nos dejaremos de ver pero no entiendo por qué te vuelves tan distante de la noche a la mañana sin hablar antes,NEGATIVO,POSITIVO,False
160,que rápido volviste a buscar su consuelo,NEUTRO,NEGATIVO,False
161,no entiendo lo que dices pero debes detenerte no existe ninguna gemela mía de a poco aquella desbordante energía que cubrió su silueta de oscuridad comienza a desaparecer,NEGATIVO,NEGATIVO,True
162,por fin se me dió el match ludery,NEUTRO,NEUTRO,True
163,esperando por la pvt cerd de eudald apreciativo,NEUTRO,NEGATIVO,False
164,qué página verga sos movistar arena más de hs de fila y volvió al inicio de vuelta,NEGATIVO,NEGATIVO,True
165,ro abres el no con jermaine palacios dando imparable y luego mandas a tocar a javier sanoja a tocar luego das luz verde y este batea para doble play el béisbol castiga cuando lo juegas mal,POSITIVO,POSITIVO,True
166,odio no poder dejarte de ver con estos ojos que solo ven ternura en vos después de todo,NEUTRO,NEGATIVO,False
167,felicito ampliamente al imbécil de por cerrar una arteria crítica de la ciudad corregidora está colapsado el centro gracias ndejo,NEGATIVO,NEGATIVO,True
168,en serio me gustaría tener un novio para ir a san josé del pacífico,NEUTRO,NEUTRO,True
169,sirve ambos vasos el suyo hasta la mitad el de melana sólo un culín es bondadoso por la diferencia de tamaño cuando alza el suyo para brindar sonríe con cierta malicia anaan y pa dentro el chupito,NEUTRO,NEUTRO,True
170,que día productivo lcdll trabaje encontré salón para mis clases arme dos coreos me hice una amiga nueva y encima luquitas vuelve esta noche de su viaje yofe lizzzzz,POSITIVO,POSITIVO,True
171,mañana terminare el zeldano al la verdadel juego me encantóhace mucho que no disfrutaba de un juego en solitariome gustaría tenerlo al pero nopronto empiezan mis clases además que son muchas cosas que no pienso hacerahora me siento vacíopensando y escuchando toda,NEGATIVO,POSITIVO,False
172,dioooooooos te amo bol bol,NEUTRO,NEUTRO,True
173,ya la otra semana termino un show mas y hora de aventura mis últimas palabras con respecto a estas series es que me acompañaron a finales del las aprecio más que la primera vez y pese a sus defectos fueron lo mejor que ha sacado cartoon network,NEUTRO,NEGATIVO,False
174,agradecido siempre por quien está y por quien no,NEUTRO,NEGATIVO,False
175,merida tierra de anarquía los moteros de nuevo haciendo de las suyas en el municipio libertador otro año más el merideño es marginado y pisados sus derechos por estos turistas que vienen a molestar corriendo por las avenidas sin control y sin supervisión,NEGATIVO,NEUTRO,False
176,que rabia que sea tan hermoso seguro todas le responden la historia,NEUTRO,POSITIVO,False
177,hace años no sabía que era estar los primeros días de enero en la perla tan relajado y descansando en la house demasiado agradecido por todo,NEUTRO,NEUTRO,True
178,cáncer cualquier acción que implique traicionar sus valores debe ser rechazado por usted cuidado con los futuro problemas de motricidad por culpa del sedentarismo tiene que lograr ese ascenso y para esto es importante mostrar todo su empeño,NEGATIVO,NEGATIVO,True
179,cuando empiezas a madurar te das cuenta de que todo lo que buscas es un hogar un trabajo estable y alguien que te de paz amor y lealtad,NEUTRO,NEUTRO,True
180,ahora que haré esos meses incapacitado,NEGATIVO,NEGATIVO,True
181,pienso que después de haber tenido episodios depresivos muy fuertes en mi vida con el tiempo uno le otorga a la tristeza cierto sentido apreciativo aprender uno a vivir con ella y encontrarla bonita y a veces necesaria,NEUTRO,NEGATIVO,False
182,hoy murió carlos bremer empresario mexicano exitoso y visionario siendo un ejemplo de lo que debe ser y hacer un empresario preocupado y apoyando a su personal y emprendiendo más negocios en conjunto con dueños de mipymes méxico necesita empresarios cómo él y no explotadores,NEGATIVO,NEGATIVO,True
183,a propósito del asesinato de f villavicencio cevallos declaró q los zapata dejaron en indefensión al candidato facilitando así la labor d los asesinos entonces cabe la pregunta quién es más peligroso un asesino reconocido o un capitán o general tapiñado,NEUTRO,NEUTRO,True
184,adoro al dúo limalimón son un mar de risas y q se ve tan comfy con r charlan pelean de chill y sobretodo q se oye más sincero y calmado cuando charla con él los quiero mucho que feliz me hizo este stream,NEUTRO,NEUTRO,True
185,chamas tengo la teoría loca de que mí padre está poseído no se cómo explicarlo simplemente lo sentí pero cuando estoy con el siento algo muy feo cómo una premonición de que algo va a pasar y juro que puedo explicarto,NEGATIVO,NEGATIVO,True
186,solo te pido una señal un incentivo para poder seguir adelante en este camino que recorrí durante todo este tiempo camino desorientador irregular pero esclarecedor dame las fuerzas y la seguridad en mi para seguir aquí,NEGATIVO,POSITIVO,False
187,estar conmigo debe ser molesto,NEGATIVO,NEGATIVO,True
188,miro luces en lo obscuro mami tú eres mi conjuro tu cintura me pone relax,NEGATIVO,NEGATIVO,True
189,es que ya quiero hacer mi tarea pero contestarle es más divertido,POSITIVO,POSITIVO,True
190,oye esta última muela del juicio que me sacaron es la que más he sentido ha pasado una semana y si bien no he sentido un dolor fuerte igual ha sido un poquito molesto hoy ya disminuyó harto sí casi no sentí nada la vez pasada me saqué las dos de abajo y nunca sentí nada,NEGATIVO,NEGATIVO,True
191,todo el mundo preocupado por baltasar y el blackface y yo pensando que no me toque el haba de roscón dejarnos disfrutar de los reyes magos tranquilos turras,POSITIVO,NEGATIVO,False
192,team leon pq era más lindo q tomas además tenía facha d maloy era re atento y tomas parecía de esos q se hacían los buenitos y los tiernos y en realidad quieren romperte el corazón en mil pedazos y diego era un rockero con mal gusto,NEUTRO,NEUTRO,True
193,es un golazo pero la falta de contundencia contundensia es desesperante el equipo se ha caído desde el empate y los cambios dignos de un demente han desconcertado aún más al equipo,POSITIVO,NEGATIVO,False
194,amo el olor a hierba luisa me ha calmado bastante,NEUTRO,NEUTRO,True
195,porque ese jevo tuyo tá celoso,NEGATIVO,NEGATIVO,True
